sentence,sentiment
"love u vaijaan, always aapki intezar main rahtahu,,aapki ek zalak or aapki movie ka intajer main rahtahu.........Allah aapko khush rakhe or salamaat rakhe esi dua kartahu.....Ameen",2
Main to nahi ye movie dekhuga Salman ki har ek movie dekhi but ye nahi dekhuga,0
Baat khtm krni hai ya khani suru soch lo :v,1
bye sleeping bol de tere tak rahe muj toh bakwas lagta hai naam toh sunna hai bhut bar,0
Sir mat bolo sale ko harami hai wo muslman ke name par dhabba hai sala saitan,0
Jo muslmano pe kicad uthayega hum use kuchl deege yaad rkh che koi v ho,0
akele modi kya ker sakte hai.........akela aadmi pahad nhi khod sakta,1
Bhai jaan bolu naa.. yar,1
Sir aap indore aoge kya promotion ke liye.,2
phle to timing 3:30pm thi,1
bahut pyaar h aap nhi samjhoge,2
Bhai k sath apun kab se baat karnay ka soch hi raha tha..Whats  App pr aah jana..,2
India ki aan baan shaanone only one salman khan,2
I'm wid u,2
Salman apke fans pahle apka dharm nhi.....apke Indian pahle hone ki vajah se pasand karte h. Aur apke sbhi chahne wale ka koi bi dharm ho.salman aap Hiro ho unke,2
Sir ek nzr cmnt pe rkiye or dekhiye kitne sare log apko pyr krte h:),1
Salman bhai apne apne page pe apna trailer ni dla youtube wala,0
"salman bhai, meri ek frnd hai..........she....lives......in......sirsi.....n .....aaki.....bauhat.....badi.....fan.....hai.....i.....dont.....know.....uske.....number....pe......wo....reply.....nhi.....kar.....rhi......n......wo......mujhe......seriously..... lyk.....karti.....hai......n.....main....bhi....agar.....mera.....ye.....comment.....aap....tak....pauhache.....den.....sirf...aap....hi...agar.....fb.....pe....usko....bol.....de.....help...me....i....don't..... know.....main.....jo.....likh.....raha.....hu....wo...sahi....hai.....ya....galat.....but....bhagwaan...kasam.....dil....se.....n....honestly.....likh.....raha.....hu.....agar....aap....meri.....help....kar....de....den....aap....jo....bologe.....wo....main....krunga.....pls....pls......plss......Sry..bhai....aap soch rhe hoge ki aap mujhe trust kyu kare den pls mera contact",1
Ur fav footballer ?,1
sala kuti ki olad,0
kaise krenge yrr// twitter pr ya fb pr sum! tell me,1
desh ko ap ki jarurat hai aage le jane ke liye,2
"Bhai accident dubara toh ni kr dya,jo ab tk ni aaye,aa b jao sir",1
mujhe nhi pta aap fb par hai ya nhi fake id bhi ho sakti hai lekin aap bhaijaan hai or martay dum tak mere bhaijaan he rahenge kyunki mein aapse behad pyar karta hu.,2
Ap shdi kr loooo,1
Fan k saath Aap majak toh nahi kar rahe hona?,0
Ek time mein sb sy kaisy krain gy baat,1
Bole to ekdum hit apne sallu bhai ki picture jhakaaas,2
2o15 biggest flop flog filmo me se ek film hogi flop flop hogi aur koy musalmaan ye salman kutte ki film nahi dekhe ga,0
Sallu bhai meri bhoot fan,1
It's 4:10,1
salman bhaijaan eid mubarak aapko ho,1
Salman vhai fata fati look,1
Sabka 1 bhaijaan,2
bharat ko vishwa guru banne se koi nahi rok sakta......vande matram,2
aap ki EID ki party me hum ainge bhai,2
salman apki sch bht achi hy.... ALLAH PAK sb thek kren gy .ap preshan mt hn. stay blessed,2
iftar party mere taraf se aajao,1
Pls pls pls reply ones...,1
Aaj kal had koi salman khan banta pherta ha,0
Bhai me samjha samjha ke thak gya tha logo ko,1
Aap to yaar supr hiro ho,2
Kailash vijaywargiya ko nikaal bahar karenge aap ya apni saari mehnat or haamare bharoshe pe paani phirwaiyega,0
(gandhi)he iz a murderer. he killed subhas ch. bose,0
Don't forget godse,1
hi.... salman bhai my self mayur and m a litill singer or meri rqst hai aapse pls mujhe bhi ek chance dijiye bhai aapke liye gaane ka......plllssssss bhai,1
Are bhai thoda jaldi time diya hota sali nind kharab ho rahi he,1
Auno Bhojani teri amma ki chodu replay kaiku kara sale,2
I hate bajarngi bhai jaan. .. Salman,0
Jab tak suraj chaand rahega modi ji ka naam rahega,2
4 baj gaye Lekin sallu sir ki entry abi baaaki hai....,1
aap ye btaie ki aap lucknow kyu nhi ate hai,1
Bhai aap apna number dijiye salman bhai,1
aaj Facebook pe lagta h sabse jyada comments ka worl record ban jayega,1
bhai bihar ya patna kb aoge pls reply,1
mast movie hai Bhai,1
ye tb possible he jb aap hme bataoge k aap pak kb aoge kaha tehroge aur me aap se kase milo i promise ak dafa os baad aap ko cal kerne ka kbi nai bologi na i milne ka just one time plz,1
chor hai ye,0
Mere cmnt padhne waalo. Jab is madar chhod ka bajrangi film flop kre to samajh jaana k muslim ka haaye laga ise.,0
meri zindagi ka maksad he apse milna,1
Mai ho fane aap ki bahut jiada her movi jis Mei aap ho kush ajiv khushi apnapan aap say lagta ha bha bat guan ba say dua karty ha Mai request behg do pls bat Karni ha,1
yeh chutye ko leker jaker bathroom mein bandh karo re,0
Sir plz come 4pm baj gae,1
Lageraho modiji pura des aapke sath he.,2
Nhi baat karni to boldete,1
Modi ji hi aise ekmatra person hai jinme desh ko age Le Jane ki sakti aur jajba hai,2
4:04 over,1
Array pic toh change kar do Yeh 3:30 wali,1
Jai ho jai ho jai ho. Bhajrangi bhaijaan,1
Sub ka bhai salman bhai,2
Shopkeeper khai ka,1
